session_id,station_id,brand,avg_power_kw,z_score
sess-68ea527e-c482-4709,TR-IST-1673,Tesla,250.0,4.75
sess-6da0d938-2e34-4a4c,TR-ANK-0154,Tesla,249.9,4.75
sess-9a0cd624-a90d-49dc,TR-ANK-0372,Tesla,250.0,4.75
sess-62abdf9f-4eb3-46af,TR-IST-0117,Tesla,250.0,4.75
sess-72d7a8bb-ed02-48d0,TR-IST-1044,Tesla,250.0,4.75
sess-277d9c70-982c-41fd,TR-ANK-0313,Tesla,250.0,4.75
sess-bafea4aa-fb98-4b02,TR-IST-0076,Tesla,250.0,4.75
sess-d57c0a4f-56b6-49a0,TR-ANK-0705,Tesla,250.0,4.75
sess-143fe8bd-6f5e-40cb,TR-IST-0204,Tesla,250.0,4.75
sess-5a502a60-a923-4f6d,TR-ANK-0284,Tesla,250.0,4.75
sess-00035fb1-7709-410f,TR-IST-0181,Tesla,250.0,4.75
sess-76781922-ffd2-4522,TR-ANT-0358,Tesla,250.0,4.75
sess-eea72c34-d382-4778,TR-IST-0133,Tesla,250.0,4.75
sess-1f8378a2-f7f5-45d9,TR-IZM-0659,Tesla,250.0,4.75
sess-ed4d3bbe-aa2a-4868,TR-IST-1108,Tesla,250.0,4.75
sess-a07944c4-af3f-4bdd,TR-IST-0074,Tesla,250.0,4.75
sess-3b386e16-a8f7-4d3b,TR-IST-0362,Tesla,250.0,4.75
sess-628ec727-ac02-4736,TR-IST-1110,Tesla,250.0,4.75
sess-87f679c8-9aba-47ad,TR-IZM-0020,Tesla,250.0,4.75
sess-9f29169c-d87e-4155,TR-IST-0136,Tesla,250.0,4.75
sess-83ba5749-0476-480c,TR-BUR-0361,Tesla,250.0,4.75
sess-df21272c-e3f0-4a30,TR-IZM-0493,Tesla,249.9,4.75
sess-d113b402-27fd-4ab6,TR-BUR-0035,Tesla,250.0,4.75
sess-2923de42-f59a-4e2e,TR-IST-1645,Tesla,250.0,4.75
sess-a2800299-d970-494c,TR-ANK-0523,Tesla,250.0,4.75
sess-af4ffe08-5a84-4562,TR-ANK-0879,Tesla,250.0,4.75
sess-23dc5f37-561f-45b6,TR-ANT-0315,Tesla,250.0,4.75
sess-a31a25f3-edc0-4478,TR-ADA-0145,Tesla,250.0,4.75
sess-610c00a9-23de-440a,TR-IST-0798,Tesla,250.0,4.75
sess-f256fda0-05b6-429f,TR-IST-0382,Tesla,250.0,4.75
sess-2f5d577e-56d9-4c9f,TR-IST-1739,Tesla,249.7,4.75
sess-38b25cf5-7ed0-41e2,TR-BUR-0238,Tesla,250.0,4.75
sess-4435f24f-10dc-4d95,TR-ANK-0147,Tesla,250.0,4.75
sess-b422a274-748d-4957,TR-IZM-0322,Tesla,250.0,4.75
sess-a0a518ba-257a-4406,TR-ANK-0628,Tesla,250.0,4.75
sess-dea803d1-a0cf-494a,TR-BUR-0320,Tesla,250.0,4.75
sess-95118274-160e-431b,TR-IST-0812,Tesla,250.0,4.75
sess-6a69495f-cb66-42af,TR-IST-0347,Tesla,250.0,4.75
sess-c5be5973-6240-4daf,TR-IZM-0462,Tesla,250.0,4.75
sess-97a991ba-3d2d-414d,TR-IST-0102,Tesla,250.0,4.75
sess-89b50bc3-55e5-4049,TR-IZM-0324,Tesla,250.0,4.75
sess-199da2d4-1664-4235,TR-IZM-0084,Tesla,250.0,4.75
sess-272c5e76-ec59-4d2d,TR-IST-1272,Tesla,250.0,4.75
sess-bc033152-9f36-4492,TR-IZM-0679,Tesla,250.0,4.75
sess-0d808848-b7f2-4536,TR-BUR-0290,Tesla,250.0,4.75
sess-8e2eda29-1c5f-4ffe,TR-IST-1902,Tesla,250.0,4.75
sess-f6a0506e-cdb2-4ecb,TR-IST-0347,Tesla,250.0,4.75
sess-35328278-938c-4b3b,TR-BUR-0350,Tesla,250.0,4.75
sess-58c59d57-ad3a-461b,TR-ANK-0042,Tesla,250.0,4.75
sess-66a7b432-3153-4b8d,TR-ANK-0562,Tesla,250.0,4.75
sess-63ba3e41-3adb-40c4,TR-IST-0453,Tesla,249.7,4.75
sess-19e1cabc-b682-42ba,TR-KON-0040,Tesla,250.0,4.75
sess-31e4b548-a793-415b,TR-IZM-0414,Tesla,249.8,4.75
sess-accef089-e954-4245,TR-IZM-0617,Tesla,250.0,4.75
sess-b329a845-8caa-496d,TR-BUR-0029,Tesla,250.0,4.75
sess-23fe11d7-f848-44d6,TR-IST-1803,Tesla,250.0,4.75
sess-8659c960-8987-4b99,TR-KON-0118,Tesla,250.0,4.75
sess-da6aa1d9-3a09-4842,TR-IST-1009,Tesla,250.0,4.75
sess-b3068951-8307-4981,TR-IZM-0545,Tesla,250.0,4.75
sess-24f8c167-6387-48ee,TR-IZM-0435,Tesla,250.0,4.75
sess-b47a5f51-977c-4596,TR-IST-0254,Tesla,250.0,4.75
sess-7bb9f0a0-d966-49ea,TR-IST-1290,Tesla,250.0,4.75
sess-b1198ffc-24ca-4274,TR-IST-1139,Tesla,250.0,4.75
sess-66f0ec3b-6250-42c2,TR-IST-2733,Tesla,250.0,4.75
sess-2eefd676-d383-4bba,TR-IST-0245,Tesla,250.0,4.75
