operator_id,city,tariff_id,revenue_eur,peak_revenue_eur,peak_pct,sessions
Trugo,Antalya,fleet-v1,3295.73,935.34,28.4,296
Esarj,Adana,peak-rate-v2,3234.88,3234.88,100.0,149
ZES,Konya,standard-v1,3147.79,961.12,30.5,238
VoltRun,Konya,standard-v1,3003.31,950.18,31.6,280
VoltRun,Adana,peak-rate-v2,2985.55,2985.55,100.0,149
Trugo,Adana,peak-rate-v2,2913.15,2913.15,100.0,144
ZES,Bursa,fleet-v1,2907.8,846.9,29.1,269
Trugo,Bursa,off-peak-v1,2827.51,670.15,23.7,349
ZES,Antalya,fleet-v1,2772.0,817.42,29.5,249
Esarj,Bursa,fleet-v1,2751.34,752.83,27.4,232
VoltRun,Antalya,fleet-v1,2717.78,705.12,25.9,250
ChargeSquare,Bursa,fleet-v1,2696.62,1014.68,37.6,252
Esarj,Antalya,fleet-v1,2658.12,724.99,27.3,230
ChargeSquare,Antalya,fleet-v1,2595.31,706.41,27.2,242
VoltRun,Bursa,off-peak-v1,2472.6,649.78,26.3,278
ZES,Bursa,off-peak-v1,2467.3,687.0,27.8,279
Esarj,Bursa,off-peak-v1,2443.38,645.82,26.4,246
Esarj,Konya,peak-rate-v2,2407.12,2407.12,100.0,113
Trugo,Konya,standard-v1,2312.96,759.23,32.8,188
Trugo,Antalya,off-peak-v1,2265.04,557.19,24.6,262
ZES,Konya,peak-rate-v2,2257.5,2257.5,100.0,101
ChargeSquare,Konya,standard-v1,2236.15,694.29,31.0,184
ChargeSquare,Adana,fleet-v1,2126.94,541.04,25.4,185
VoltRun,Antalya,off-peak-v1,2101.44,424.14,20.2,235
ChargeSquare,Bursa,off-peak-v1,2041.27,666.56,32.7,236
ChargeSquare,Antalya,off-peak-v1,1933.82,471.0,24.4,219
VoltRun,Konya,peak-rate-v2,1927.54,1927.54,100.0,106
Trugo,Adana,fleet-v1,1917.73,618.55,32.3,195
ChargeSquare,Adana,off-peak-v1,1859.16,522.93,28.1,205
ZES,Antalya,off-peak-v1,1812.41,465.37,25.7,217
VoltRun,Adana,fleet-v1,1787.7,579.45,32.4,172
Esarj,Adana,fleet-v1,1753.54,573.76,32.7,160
ChargeSquare,Konya,peak-rate-v2,1722.06,1722.06,100.0,85
Esarj,Konya,fleet-v1,1719.56,536.57,31.2,145
Esarj,Antalya,off-peak-v1,1699.16,372.56,21.9,206
Esarj,Adana,off-peak-v1,1693.91,333.21,19.7,194
Trugo,Konya,peak-rate-v2,1678.09,1678.09,100.0,80
ZES,Adana,off-peak-v1,1620.8,435.88,26.9,164
Trugo,Adana,off-peak-v1,1473.06,381.1,25.9,178
ZES,Konya,fleet-v1,1430.64,467.64,32.7,129
Esarj,Konya,off-peak-v1,1397.77,342.86,24.5,151
VoltRun,Adana,off-peak-v1,1391.0,349.39,25.1,167
ZES,Adana,fleet-v1,1354.99,425.96,31.4,124
Trugo,Konya,fleet-v1,1204.34,382.67,31.8,108
Trugo,Konya,off-peak-v1,1176.12,217.18,18.5,131
ChargeSquare,Konya,fleet-v1,1170.76,373.04,31.9,106
VoltRun,Konya,fleet-v1,1156.21,360.02,31.1,125
VoltRun,Konya,off-peak-v1,1109.07,278.21,25.1,144
ZES,Konya,off-peak-v1,1000.93,186.62,18.6,105
ChargeSquare,Konya,off-peak-v1,623.9,180.8,29.0,73
